Title,Genre,Premiere,Runtime,IMDB Score,Language,Year,Month,DayOfWeek,Quarter
Enter the Anime,Documentary,2019-08-05,58,2.5,English/Japanese,2019,8,Mon,3
Dark Forces,Thriller,2020-08-21,81,2.6,Spanish,2020,8,Fri,3
The App,Science_fiction/Drama,2019-12-26,79,2.6,Italian,2019,12,Thu,4
The Open House,Horror/Thriller,2018-01-19,94,3.2,English,2018,1,Fri,1
Kaali Khuhi,Mystery,2020-10-30,90,3.4,Hindi,2020,10,Fri,4
Drive,Action,2019-11-01,147,3.5,Hindi,2019,11,Fri,4
Leyla Everlasting,Comedy,2020-12-04,112,3.7,Turkish,2020,12,Fri,4
The Last Days of American Crime,Heist/Thriller,2020-06-05,149,3.7,English,2020,6,Fri,2
Paradox,Musical/Western/Fantasy,2018-03-23,73,3.9,English,2018,3,Fri,1
Sardar Ka Grandson,Comedy,2021-05-18,139,4.1,Hindi,2021,5,Tue,2
Searching for Sheela,Documentary,2021-04-22,58,4.1,English,2021,4,Thu,2
The Call,Drama,2020-11-27,112,4.1,Korean,2020,11,Fri,4
Whipped,Romantic/Comedy,2020-09-18,97,4.1,Indonesian,2020,9,Fri,3
All Because of You,Action/Comedy,2020-10-01,101,4.2,Malay,2020,10,Thu,4
Mercy,Thriller,2016-11-22,90,4.2,English,2016,11,Tue,4
After the Raid,Documentary,2019-12-19,25,4.3,Spanish,2019,12,Thu,4
Ghost Stories,Horror/Anthology,2020-01-01,144,4.3,Hindi,2020,1,Wed,1
The Last Thing He Wanted,Political/Thriller,2020-02-21,115,4.3,English,2020,2,Fri,1
What Happened to Mr. Cha?,Comedy,2021-01-01,102,4.3,Korean,2021,1,Fri,1
Death Note,Horror/Thriller,2017-08-25,100,4.4,English,2017,8,Fri,3
"Hello Privilege. It's Me, Chelsea",Documentary,2019-09-13,64,4.4,English,2019,9,Fri,3
Secret Obsession,Thriller,2019-07-18,97,4.4,English,2019,7,Thu,3
Sextuplets,Comedy,2019-08-16,99,4.4,English,2019,8,Fri,3
The Girl on the Train,Thriller,2021-02-26,120,4.4,Hindi,2021,2,Fri,1
Thunder Force,Superhero/Comedy,2021-04-09,105,4.4,English,2021,4,Fri,2
Fatal Affair,Thriller,2020-07-16,89,4.5,English,2020,7,Thu,3
Just Say Yes,Romantic/Comedy,2021-04-02,97,4.5,Dutch,2021,4,Fri,2
Seriously Single,Comedy,2020-07-31,107,4.5,English,2020,7,Fri,3
The Misadventures of Hedi and Cokeman,Comedy,2021-02-10,99,4.5,French,2021,2,Wed,1
5 Star Christmas,Comedy,2018-12-07,95,4.6,Italian,2018,12,Fri,4
After Maria,Documentary,2019-05-24,37,4.6,English/Spanish,2019,5,Fri,2
I Am the Pretty Thing That Lives in the House,Horror,2016-10-28,89,4.6,English,2016,10,Fri,4
Paris Is Us,Romance/Drama,2019-02-22,83,4.6,French,2019,2,Fri,1
